name,geo3x3,image,song
あ,E9138732357596,data/0_1_0.jpg,秋空に　黄色がまぶし　銀杏並木
い,E9138732343443,data/0_2_0.jpg,一生を　女子教育に　禿すみさん
う,E9138732358894,data/0_3_0.jpg,ウォーキング　心爽やか　穴田川
え,E9138732343676,data/0_4_0.jpg,圓誠寺　豊作願う　大神楽
お,E9138732359891,data/0_5_0.jpg,おふくろの味　天下一の　地場野菜
お,E9138732367137,data/0_5_0.jpg,おふくろの味　天下一の　地場野菜
お,E9138732353264,data/0_5_0.jpg,おふくろの味　天下一の　地場野菜
お,E9138732319736,data/0_5_0.jpg,おふくろの味　天下一の　地場野菜
か,E9138732365586,data/1_1_0.jpg,観測所　地震見守り　四六時中
き,E9138732339948,data/1_2_0.jpg,きんかんは　やけどの薬　新庄から
く,E9138732318853,data/1_3_0.jpg,区の宝　許佐羅江清水　トヨミ住む
け,E9138732363567,data/1_4_0.jpg,境内で　厳かに舞う　浦安の舞
こ,E9138732339553,data/1_5_0.jpg,古樹林で　願いをお聞きの　お薬師さん
さ,E9138733144276,data/2_1_0.jpg,三里山　信仰あつめた　帝釈天
し,E9138732343545,data/2_2_0.jpg,地蔵祭り　男地蔵と　女地蔵
す,E9138732356216,data/2_3_0.jpg,すぐ出動　分断魂　地区の華
せ,E9138732319622,data/2_4_0.jpg,世界体操　契機にできた　定次団地
そ,E9138732386425,data/2_5_0.jpg,空こがし　無病息災　左義長の火
そ,E9138732368121,data/2_5_0.jpg,空こがし　無病息災　左義長の火
そ,E9138732363723,data/2_5_0.jpg,空こがし　無病息災　左義長の火
そ,E9138732352198,data/2_5_0.jpg,空こがし　無病息災　左義長の火
そ,E9138732343797,data/2_5_0.jpg,空こがし　無病息災　左義長の火
そ,E9138732357437,data/2_5_0.jpg,空こがし　無病息災　左義長の火
た,E9138732363159,data/3_1_0.jpg,大根と　豆腐を和える　新庄ぬた
ち,E9138732358444,data/3_2_0.jpg,地域一　めがね会館　誇りあり
つ,E9138732363279,data/3_3_0.jpg,剣神社　神馬が守る　鎮守の森
て,E9138732351451,data/3_4_0.jpg,手を合わす　薬師如来に　願をかけ
と,E9138732365965,data/3_5_0.jpg,銅鐸で　何を祈った　古代人
な,E9138732383892,data/4_1_0.jpg,七つ区の　寄り添い栄える　新横江
な,E9138732364858,data/4_1_0.jpg,七つ区の　寄り添い栄える　新横江
な,E9138732362598,data/4_1_0.jpg,七つ区の　寄り添い栄える　新横江
な,E9138732351866,data/4_1_0.jpg,七つ区の　寄り添い栄える　新横江
な,E9138732342527,data/4_1_0.jpg,七つ区の　寄り添い栄える　新横江
な,E9138732349296,data/4_1_0.jpg,七つ区の　寄り添い栄える　新横江
な,E9138732354768,data/4_1_0.jpg,七つ区の　寄り添い栄える　新横江
な,E9138732381417,data/4_1_0.jpg,七つ区の　寄り添い栄える　新横江
に,E9138732358246,data/4_2_0.jpg,にぎわって　味も楽しむ　コスモス祭り
ぬ,E9138733117728,data/4_3_0.jpg,ぬし誰ぞ　三里山の　古墳群
ね,E9138732358628,data/4_4_0.jpg,年代を　超えて集う　公民館
の,E9138732338251,data/4_5_0.jpg,のんびりと　羽を休める　カモの群れ
は,E9138732358327,data/5_1_0.jpg,バチさばき　華麗にひびく　きずな太鼓
ひ,E9138732355766,data/5_2_0.jpg,ひがしの子　元気なあいさつ　こだまする
ふ,E9138732388265,data/5_3_0.jpg,ふるさとの　行き帰りには　鯖江インター
へ,E9138732382131,data/5_4_0.jpg,変身し　技を伝える　めがねマラソン
ほ,E9138732362892,data/5_5_0.jpg,蛍火が　飛んで癒やしの　ふるさとの川
ほ,E9138733117129,data/5_5_0.jpg,蛍火が　飛んで癒やしの　ふるさとの川
ほ,E9138732352755,data/5_5_0.jpg,蛍火が　飛んで癒やしの　ふるさとの川
ま,E9138732382444,data/6_1_0.jpg,マラソンの　発着点は　競技場
み,E9138733147212,data/6_2_0.jpg,南に日野　北に文殊と　行司ヶ岳
む,E9138732359782,data/6_3_0.jpg,麦畑　見渡すかぎり　黄金波
む,E9138732356976,data/6_3_0.jpg,麦畑　見渡すかぎり　黄金波
む,E9138732337793,data/6_3_0.jpg,麦畑　見渡すかぎり　黄金波
む,E9138732327851,data/6_3_0.jpg,麦畑　見渡すかぎり　黄金波
め,E9138732358592,data/6_4_0.jpg,めぐりゆく　学びの面影　大樋校
も,E9138732342657,data/6_5_0.jpg,木琴　今はマリンバ　こおろぎ社
や,E9138732357341,data/7_1_0.jpg,やんしきに　はじける笑顔　みどり公園
ゆ,E9138732382565,data/7_2_0.jpg,ゆれるコスモス　秋を彩る　地区の花
ゆ,E9138732355866,data/7_2_0.jpg,ゆれるコスモス　秋を彩る　地区の花
ゆ,E9138732327557,data/7_2_0.jpg,ゆれるコスモス　秋を彩る　地区の花
よ,E9138732383687,data/7_3_0.jpg,横越の　夏の名残りは　大お寄り
ら,E9138732354629,data/8_1_0.jpg,ランチタイム　皇太子さまも　にこやかに
り,E9138732355194,data/8_2_0.jpg,リレーにつなひき　区民総出の　体育会
る,E9138732343642,data/8_3_0.jpg,ルート標す　薬師のもとに　石道標
れ,E9138732383579,data/8_4_0.jpg,連綿と　つづく鐘の音　ご本山
ろ,E9138732339484,data/8_5_0.jpg,路地端に　やさしい顔の　お地蔵さん
わ,E9138732336827,data/9_1_0.jpg,わが町に　雄姿を見せる　新幹線